ID,Question,Answer
1,ভাষা বলতে কী বোঝ? বাংলা ভাষায় সাধু ও চলিত রীতির পার্থক্য বুঝিয়ে দাও।,"ভাষা হলো মানুষের ভাব, চিন্তা ও অনুভূতি প্রকাশের মাধ্যম। সাধু রীতিতে বাক্য গঠন জটিল ও প্রাচীন ধাঁচের হয়, চলিত রীতি সহজবোধ্য ও কথ্য ভাষাভিত্তিক।"
2,বাংলা ভাষার শব্দগুলোকে কয়টি গুচ্ছে বিভক্ত করা যায়? উদাহরণসহ বর্ণনা কর।,"বাংলা ভাষার শব্দগুলোকে তিন ভাগে ভাগ করা যায়— তৎসম, তদ্ভব ও বিদেশি। উদাহরণ: তৎসম— পুণ্য, তদ্ভব— পোলা, বিদেশি— রেডিও।"
3,"নিচের শব্দগুলোকে গুচ্ছ অনুযায়ী সাজাও (তৎসম, তদ্ভব ইত্যাদি শিরোনামের নিচে লেখ)।","তৎসম: গুরু, গৃহ, দেবতা। তদ্ভব: রাখাল, দা, ঢেঁকি, খড়ম। বিদেশি: সম্রাট, বাদশাহ, বেগম, হাসপাতাল, চেয়ার, কিতাব, রিক্সা, লুঙ্গি, চিনি, সমুদ্র।"
4,ব্যাকরণ কাকে বলে? ব্যাকরণে কী কী বিষয় আলোচিত হয়?,"ভাষাকে শুদ্ধভাবে পড়া, লেখা ও বলা শেখার নিয়মকেই ব্যাকরণ বলে। ব্যাকরণে ভাষার রীতি, গঠন, ধ্বনি, শব্দ, বাক্য প্রভৃতি বিষয় আলোচিত হয়।"
5,নিচের বাক্যগুলোকে আদর্শ চলিত রীতিতে পরিবর্তন কর।,ক. এখনও সে স্কুল থেকে ফেরেনি। খ. আমি তাকে চিঠি লিখেছি। গ. সে আসবে বলে ভরসা করতে পারছিল না। ঘ. আমি তাকে দিয়ে কাজটি করিয়েছি। ঙ. স্কুল পালিয়ে রবীন্দ্রনাথ হওয়া যায় না। চ. বক্তৃতা দিতে দিতে তিনি অজ্ঞান হয়ে পড়লেন।
6,"সুন্দর মুখ দেখে ভুলে যেও না, দুষ্ট লোকের মিষ্টি কথায় ভুলিও না।","এটি একটি প্রবাদবাক্য, যার অর্থ হচ্ছে বাহ্যিক সৌন্দর্যে বিভ্রান্ত না হয়ে মানুষের চরিত্র ও কাজ দিয়ে বিচার করা উচিত।"
7,যাহাদের কথামতো অগ্রসর হইলাম শেষ পর্যন্ত তাহারাই আমাকে বিপদে ফেলিল।,"এটি এমন একটি বাক্য যা শেখায় যে, কাউকে অন্ধভাবে বিশ্বাস করা বিপদজনক হতে পারে।"
8,"দুই বন্ধু বনেতে ভ্রমণ করিতেছিল, এমন সময় এক ভালুক আসিয়া তাহাদের সম্মুখে হাজির হইল।",এটি একটি গল্পভিত্তিক বাক্য; এর শিক্ষা হলো— বিপদের সময় প্রকৃত বন্ধুর পরিচয় মেলে।
9,বাংলা লেখ্য ভাষার রীতি কয়টি?,"বাংলা লেখ্য ভাষার রীতি তিনটি — একরীতি, দ্বিরীতি ও ত্রিরীতি।"
10,সাধু রীতির বাক্যবিন্যাস কেমন?,সাধু রীতির বাক্যবিন্যাস নির্দিষ্ট ও প্রাচীন ধাঁচের হয়; বাক্যে কর্তা সাধারণত শেষে থাকে।
11,চলিত রীতির বৈশিষ্ট্য কী?,"চলিত রীতি সহজবোধ্য, কথ্যভাষার অনুসারী ও দৈনন্দিন ব্যবহারে উপযোগী।"
12,বাংলা ভাষার শব্দসম্ভারকে কয় ভাগে ভাগ করা যায়?,"বাংলা ভাষার শব্দসম্ভারকে তিন ভাগে ভাগ করা যায় — তৎসম, তদ্ভব ও বিদেশি।"
13,দেশি শব্দ কাকে বলে?,"যে শব্দগুলো বাংলা ভাষায় স্বাভাবিকভাবে গঠিত হয়েছে, সেগুলো দেশি শব্দ।"
14,তৎসম শব্দ মানে কী?,"যে শব্দগুলো সরাসরি সংস্কৃত ভাষা থেকে নেওয়া হয়েছে, সেগুলো তৎসম শব্দ।"
15,নিচের শব্দগুলো থেকে ইংরেজি শব্দ খুঁজে বের কর।,"ইংরেজি শব্দ: পেন্সিল, কলম, টিন, স্কুল, শার্ট।"
16,নিচের শব্দগুলো থেকে আরবি-ফারসি শব্দ খুঁজে বের কর এবং আরবি শব্দের ডানে ‘আ’ ও ফারসি শব্দের ডানে ‘ফা’ লিখে দাও।,"আরবি শব্দ: খোদা(আ), নামাজ(আ), নবি(আ), পয়গম্বর(আ)। ফারসি শব্দ: দারোগা(ফা), বোতাম(ফা), আদালত(ফা), রেস্তোরাঁ(ফা)।"
17,নিচের শব্দগুলোর প্রতিটি গুচ্ছের পাশে ডানদিকে যে নাম লেখা আছে তা ভুল হলে ঠিক নামটি বসাও।,"১. গুনাহ, ফেরেশতা, দোজখ, রোজা — আরবি। ২. মাস্টার, লাইব্রেরি, ব্যাগ, কলেজ — ফারসি নয়, ইংরেজি। ৩. চন্দ্র, সূর্য, পত্র, ধর্ম — সংস্কৃত। ৪. চুলা, কুলা, চোঙা, ডিঙ্গি — দেশি। ৫. হাত, চামার, কামার, মাথা — দেশি। ৬. আলপিন, আলমারি, পাউরুটি, চাবি — তদ্ভব নয়, বিদেশি। ৭. চাকু, চাকর, দারোগা, তোপ — তদ্ভব। ৮. আল্লাহ, ইসলাম, তসবি, উকিল — তুর্কি।"
18,নিচে ব্যাকরণের দুটি সংজ্ঞা দেওয়া হলো। যেটি ঠিক তার বাম পাশে টিক চিহ্ন দাও।,"১. যে শাস্ত্রে ভাষার বিভিন্ন উপাদান, তার গঠনপ্রকৃতি ও স্বরূপ বিশ্লেষণ হয় এবং সুষ্ঠু প্রয়োগবিধি আলোচিত হয় তাকে ব্যাকরণ বলে। ২. যে শাস্ত্র পাঠ করলে ভাষা শুদ্ধভাবে পড়তে, লিখতে ও বলতে পারা যায় তাকেও ব্যাকরণ বলে।"
